service_id,partner_name,service,phone,email
133652000010965,Neew ict and event organizer,API,940042204,neewictandevent@gmail.com
152342000014182,Derartu Tsegaye Abera,,,
150252000013969,Playstream Interactive PLC,,,
155802000014468,All african,,,
155012000014388,Ethio prenerse,API,943030926,Danielhaftu333@gmail.com
155632000014487,Happy kids ICT PLC,,,
teleBeat0006,Go Digital Service PLC,,,
300042200007042,Hyper info tech technology PLC,API,911246654,
111052000006648,Enlight Technologies PLC,,,
152362000014184,Mahlet Israel,,,
153242000014191,Dartech it business solution,,,
153462000014205,Smart Media PLC,API,929138085,smartmedia2424@gmail.com
151072000014009,Imran technology  plc,API,913939302,
156652000014602,Techview Digital Service PLC,,,
300004200007005,Cloud Information Technology plc,,,
Teleplay0009,Nano Technology plc,,,
300060200007060,MAM ICT Technology,,,
152352000014140,Abdi Birhanu,,,
151022000014527,Singitan Multimedia & Press Works PLC,,,
148112000013330,Bealu Vas,API,911982010,
30013400007183,ALHABEK TRADING PLC,,,
154652000014387,Aspire Utopia Solutions,,,
300007200007010,Kefyalew Seyoum,API,911564515,kefyalewseyoum478@gmail.com
151542000014530,Aman Wassie,API,972107810,
300100200007107,BA ICT SOLUTIONS PLC,,,
151032000014021,Kelil Aman,,,
30021900007251,BYG PLC,API,920685786,
157002000014713,African Horn Computer Solution,API,91 366 0060,khaliyemene@gmail.com
154282000014328,Shedeli Trading PLC (Tele drive ),,,
300047200007049,Star Technologies PLC-8761,API,962092805,yusra@star-tech.website
300100200007111,Solomon Abebe Beyene,,,
300080200007080,FALCON TECH SOLUTIONS PLC,,,
150742000014020,Tenachin Fitness Tips/Abdu Seid,,,
300029200007029,ART meda Trading Plc,API,912340734,artpicturesethio@gmail.com
136912000012413,Royd Technology PLC,,,
30024600007308,Playstream Interactive PLC(victory play),,,
150982000013999,Abem Tech plc,API,913700495,
153362000014281,Alhabek Trading PLC,,,
300100200007110,Betelehem Yosef VAS Service,,,
151082000014037,MT ICT TECHNOLOGY PLC,,,
136732000012909,Shalkatraz Engineering PLC,API,953968460,
3000272000007020,Meseret Gachena,API,911988257,shimelis.matebu@gmail.com
156312000014535,TIRUWORK TSEGAYE MOLLA,,,
156962000014710,S E VAS TRADING PLC,API,912102044,
150182000013984,Lumetech Enginering PLC,API,953968462,
150922000014038,Tigist Teshome,,,
150892000014076,Hyper info tech technology plc,API,911246654,
300034200007034,SAMHAR TRADING PLC,API,910690733,samor20@gmail.com
30013400007193,VISION TECH TRADING ONE MEMBER PLC,,,
300000200007001,MELONI VAS,API,911064251,elshusweet@gmail.com
153932000014271,Chartered Advisory Service PLC,,,
150602000013972,Primecom Technologies PLC,API,910804901,
30022400007261,Superior Technology PLC,,,
151272000014027,Bezawit Mulugeta VAS,API,913819518,
30022800007275,SER State office of the prisedant,API,916832316,
156642000014589,Leta Senbato Oljira,,,
teleBeat0010,Go Digital Service PLC,,,
156812000014722,ZUZI COMMUNICATION TECHNOLOGY PLC,API,923808380,
Teleplay0008,Nano Technology plc,,,
300093200007094,GO DIGITAL PLC,,,
300050200007050,SAN METROPOLITAN PLC,,,
30019400007238,Chartered Advisory Service PLC,,,
300003200007004,HAPPY TECHNOLOGY PLC,API,914738939,temukass27@gmail.com
156422000014548,TARIKU BELFA DEKO,,,
300052200007052,Innovii Digital Service,API,910832243,
30013400007151,EDU TECH ICT Solutions PLC,,,
156782000014648,Beta Systems PLC,,,
156212000014533,Ditech,,,
300051200007051,POINT ICT TECHNOLOGY PLC,API,911570000,
30022000007255,Tec MED Revolution,API,911909596,
154222000014493,I Connect Digital Service PLC,,,
300088200007088,MULUGETA ABERA,,,
30022500007262,Mobile Spin VAS PLC (WinnersHub),,,
30021600007248,Melihik Technology plce,,,
30012500007139,FREMNATOS ELDERS MENTALY DIS AND CHILD CHARTY ORG,,,
15164200007015,YISHAK KEBEDE VAS,,,
300100200007112,XMG Business Group PLC,,,
151092000014023,Mekonnen Mulugeta VAS,,,
teleBeat0009,Go Digital Service PLC,,,
teleBeat0008,Go Digital Service PLC,,,
156882000014654,BEALU DEMISSIE GORFE,API,911982010,
30013400007194,ASPIRE UTOPIA SOLUTIONS,,,
151642000014041,YISHAK KEBEDE VAS,,,
300100200007102,Techstar Technologies PLC,,,
30011900007277,Digital Virgo (Youscribe ),,,
30022200007257,GIG Trading,,,
151222000014029,Tinsae Mulugeta VAS,,,
155532000014451,Chartered Advisory Service PLC,,,
155732000014484,OK SMS,,,
154222000014492,I Connect Digital Service PLC,,,
155272000014403,Trade Ethiopia Commissioning,API,904004400,
30022500007263,Mobile Spin VAS PLC (WinnersHub),,,
300100200007104,Techstar Technologies PLC,,,
30024100007299,Hahu Tech Café PLC,,,
154222000014490,I Connect Digital Service PLC,,,
30013400007152,EDU TECH ICT Solutions PLC,,,
30024100007295,Hahu Tech Café PLC,,,
30024600007306,Playstream Interactive PLC(victory play),,,
30023900007288,Gizuf Digital Service PLC,,,
300210200007242,Jegol Technology One Member PLC,API,994660809,
30021700007249,Vision Tech Trading,,,
30021800007250,EFHOI Ethio Family Health PLC,,,
30013400007156,ROBE HABTAMU BIRHANU,,,
153472000014206,Core Engineering Technology plc,,,
30024400007303,Nebil Samuel Edasu,,,
30024600007307,Playstream Interactive PLC(victory play),,,
30023900007290,Gizuf Digital Service,,,
30013400007171,STAR TECHNOLOGIES PLC-9248,API,962092805,yusra@star-tech.website
155752000014470,MIND SET SHORT MASAGE SERVICE,,,
30021400007246,Circles Technology,API,966205052,haymanot.negeri@gmail.com
30024100007294,Hahu Tech Café PLC,,,
30022200007259,GIG Trading,,,
30021700007264,Vision Tech Trading,,,
30015500007189,Communication and Marketing PLC,API,923027328,
30011900007131,ERISTE ATINAF ASRES,,,
30021700007265,Vision Tech Trading,,,
30023900007289,Gizuf Digital Service,,,
3000262000007020,FIKADE GACHENA,API,911988257,shimelis.matebu@gmail.com
30024100007298,Hahu Tech Café PLC,,,
30022200007258,GIG Trading,,,
30023000007279,Beshatu Tolemariam Terefe,,,
30024100007293,Hahu Tech Café PLC,,,
30025300007317,KIMA Multimedia Production One Member,,,
30013400007206,Digital Virgo Technology Solution PLC,,,
300100200007103,Techstar Technologies PLC,,,
30024100007296,Hahu Tech Café PLC,,,
30024100007292,Hahu Tech Café PLC,,,
153492000014207,Shedeli Trading PLC,,,
30023500007285,Brote Tich Trading Plc,API,919298223,
300207200007239,Tebeb Digital Service plc,,,
30024100007297,Hahu Tech Café PLC,,,
157122000014715,Napu Technology Services,,,
30025500007319,Abol Technology,,,
300056200007056,Double Y Engineering PLC,,,
30013600007211,Alicome Trading PLC,,,
157042000014712,PO Vas And software solutions,,,
30019600007240,Chartered Advisory Service PLC,,,
30021300007245,MATRIX TECHONOGY PLC,,,
30019300007237,Lekene One Member PLC,,,
30015500007191,251Communication And marketing plc,API,923027328,
30024300007301,New Rise Technology PLC,,,
135702000011986,Ethio_ENDF,,,
30023800007287,SkyKin Technologies  plc,,,
30017800007224,HYPER INFO TECH TECHNOLOGY-8452,,,
300206200007238,Roja Solutions PLC,,,
157032000014708,ICONNECT,,,
30012800007146,TECH VAS TELECOMUNICATION VALUE ADDED SERVICE,,,
30022600007273,Zemen Technologies PLC,,,
30015500007190,Communication and Marketing PLC,API,923027328,
300100200007116,NAPU,,,
30017200007312,Alicom Trading PLC,,,
30013400007179,Gamo Gofa Zone,,,
30022300007260,MELAKU W/MICHAEL,,,
150392000013958,MINISTRY OF EDUCATION1,,,
30024700007308,RIMARTSCHOOL.COM,,,
30011900007134,Digital Virgo Technology Soluation PLC,,,
30012500007140,KURAZ TECHNOLOGIES PLC,,,
156412000014534,Busa Gonofa,,,
Telefun01,Modertech Telecom VAS PLC,,,
Telefun02,Modertech Telecom VAS PLC,,,
Telefun04,Modertech Telecom VAS PLC,,,
Telebattle644Daily,Digicom Intellegent systems PLC,,,
Telefun05,Modertech Telecom VAS PLC,,,
Telefun06,Modertech Telecom VAS PLC,,,
30024800007309,AL Habesha Media & Communication,,,
Telebattle644Weekly,Digicom Intellegent systems PLC,,,
Telebattle644OnDemand,Digicom Intellegent systems PLC,,,
Telebattle644Monthly,Digicom Intellegent systems PLC,,,
30025800007326,Kings Gate Yelemtena Bego Aderagot,API,913050646,
30024300007316,,,,
30024300007315,New Rise Technology,,,
30026200007336,Kalem Trading,API,910990147,
30025200007314,AHT NET & ICT Solutions PLC,,,
30026200007330,Kalem Trading,API,910990147,
30025900007327,Natanet Integration & Trade of Technology,,,
1457600007341,,,,
1457600007342,,,,
3000222000007020,Hirenboot Computer import plc,,,
30012500007135,Nutrition Trading PLC,API,911147238,
30026100007329,Velnet Solutions PLC,,,
30026200007337,Kalem Trading PLC,API,910990147,
30026200007338,Kalem Trading PLC,API,910990147,
30026200007339,Kalem Trading PLC,API,910990147,
30026200007340,Kalem Trading PLC,API,910990147,
30026300007331,SKYKIN Technology PLC,,,
30026300007332,SKYKIN Technology PLC,,,
30026300007334,SKYKIN Technology PLC,,,
30026400007335,Global Engineering PLC,,,
151602000014237,Kulu network plc (Elf Plus),,,
153282000014179,T A F Private Limited Company,API,913382829,freseww@gmail.com
30024500007304,Feliz VAS,,,
30026300007333,,,,
30026500007343,G D F TRADING ONE MEMBER PLC,API,911248351,
30026800007346,,,,
30026800007347,,,,
30026800007348,,,,
30026800007349,,,,
30026900007351,,,,
30027000007355,,,,
2517696,Silver Spring,MO,966935990,
2518841,NATIONAL MEDIA SHARE COMPANY,MO,911781822,
2519355,Abbay Media,MO,927181789,
2519006,TIGRAY MASS MEDIA AGENCY,MO,914137989,
2519760,Two F Capital PLC,MO,911259114,
0153342000014178,TRAD ETHIOPIA COMMISSIONING,MO,904525410,
0042682000002758,ECOM TECHNOLOGIES PLC,MO,911200580,
0106052000005133,TIGRAY DEVELOPMENT ASSOCI,MT,911545152,
0154142000014296,MUDAYE BEGO ADRAGOT MAHIBER,MT,911718205,
0152542000014130,MARY JOY DEVELOPMENT ASSOCIATION,MT,911208518,
0150582000013966,NIA FOUNDATION,MT,911244073,
0148232000013428,TSIGE SOLOMON LEMU,MT,967767637,
0155482000014445,SHEK ADEM TULA FOUNDATION,MT,912391032,
0154372000014342,HACALU HUNDESSA FOUNDATION,MT,942387804,
0134822000011428,Circles Technologies PLC,MT,966205053,
2517755,LIYANA DIGITAL HEALTH CARE,Voice-Premium,912352490,
2519665,TRAD ETHIOPIA COMMISSIONING,Voice-Premium,904525410,
2516967,VIVAMED PHARMA IMPORT & EXPORT,Voice-Premium,905582222,
2516561,GOLLEYE PRIVATE LIMITED COMPANY,Voice-Premium,911166247,
2516830,Adulyane adverting and promotion,Voice-Premium,911611868,
2519856,KEY REAL ESTATE PLC,Voice-Premium,901114422,
0101122000004631,AMAN WASSIE ABDE,MT,972107810,
30020000007234,Abebech Gobena,MT,964888887,
0104642000005055,EKO PLUS IT TECHNOLOGY PLC,MT,933683247,
0096002000004237,Ri Com Value Add and Telecommunication Materials service,MT,933683247,
0104642000005053,ECO PLUS IT TECHNOLOGY PLC,MT,933683247,
0144642000012746,AFRU FILM PROMOTION ENTERTAIMENT,MO,930004144,
0100562000004469,HIKMA ELECTRONICS PLC,MT,933683247,
0128172000008808,EKO PLUS IT TECHNOLOGY PLC,MT,933683247,
30013400007188,ENAT BANK S.C.,MT,911121246,
0104042000005429,COMTEL TRADING PLC,MT,933683247,
0130092000009594,TOLAWAK DUGASSA WIRTU,MT,976961818,
0128182000008810,SPEED TECH IT TECHNOLOGY PLC,MT,933683247,
30024000007291,ADDIS MUSIC MULTI MEDIA PLC,MO,911255195,
0121152000006408,HIKMA ELECTRONICS PLC,MO,933683247,
0135202000011668,HIKMA ELECTRONICS PLC,MO,933683247,
0129232000009403,AGE ENGINEERING PLC,MT,923279021,
0134622000011287,CORE ENGINEERING TECHNOLOGY P.L.C.,MT,923569610,
0146002000013076,S SQUARE MARKETING PLC,MT,985375717,
0157592000014811,PRIME COM TECHNOLOGIES PLC,MO,910804901,
2518222,FANA BROADCASTING CORPORATE S.C,MO,911760507,
251801,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971,
251800,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971,
2518600,ETHIOPIAN BROADCASTING CORPORATION,MO,911810971,
2519596,Serdo .Com Online Market plc,Voice-Premium,910867889,
2516781,NEXOVATE TRADING PLC,Voice-Premium,916730578,
2516558,OSCAR PROMOTION PLC,Voice-Premium,914211407,
601654,Sami Zenebe Mulate,CRBT,913050849,
601788,THE CHOSEN TELECOMUNICATION VALUE ADDED SERVICE,CRBT,935061284,
601587,Ketim Desalegn Benti,CRBT,944001516,
601747,EGOL TRADINFG PLC,CRBT,911507701,
601613,Betelehem Fasil,CRBT,974319762,
601970,Abebech Dera,CRBT,911107371,
601707,MULETA HUSEN Telecommunication Value Added Service,CRBT,933146108,
601523,Elora Trading PLC,CRBT,969695555,
601663,IYASU NIGATU GONFA TELECOMMUNICATION VALUE ADDED SERVICE,CRBT,934509979,
601785,HIWOT TIZAZU TILAHUN,CRBT,913976686,
601666,Alphanet Solution PLC,CRBT,993617272,
601715,REFISA DEREJE FEYISA VALUE ADDED SERVICE,CRBT,903195116,
601871,Ayantu Asfaw,CRBT,930549428,
601560,Fanose Dejene VAS,CRBT,911284948,
601773,DURSA ENTERTAINMENT PLC,CRBT,911565354,
601566,URGECHA BEDADA DEBELE,CRBT,952266333,
601701,ABAYU ZEWDE NEGASH,CRBT,920551672,
601652,TEC CRBT PLC,CRBT,911054807,
601964,Adey Tesfaye Gebremichael,CRBT,936561717,
601977,zuzi PLC,CRBT,923808380,
601981,Luban Trading plc,CRBT,911334485,
601728,MELODY VALUE ADDED SERVICE,CRBT,915491850,
601644,Abem Tech Ict Plc,CRBT,923759007,
601887,SURA ASEFA,CRBT,911867926,
601843,Hawi Getahun Mulisa,CRBT,910306623,
601739,Bluegrass Entertainment,CRBT,918874590,
601751,Orbit Consultance plc,CRBT,952488155,
601655,Etika Teferi,CRBT,934000099,
601874,ALKE BULAN TRADING ONE MEMBER PLC,CRBT,974735001,
601744,Mak Records,CRBT,922919901,
601974,GADISE EBISA GUYASA TELECOMMUNICATION VAS,CRBT,915280788,
601577,A T M ENGINEERING PLC,CRBT,930856171,
601621,SHASHA ENTERTAINMENT,CRBT,941298949,
601821,Gadise Tariku,CRBT,911434587,
601929,Zelalem Ayalew Nigusse,CRBT,913232111,
601745,Kegna Techno Value Added Service work plc,CRBT,913349147,
601740,KAKU STUDIO PLC,CRBT,911585479,
601723,HANAZI STUDIO,CRBT,913309497,
601710,Everest Consultancy plc,CRBT,946659696,
601708,MYROCK TECHNOLOGY SERVICE,CRBT,911482279,
601727,HARMONY MULTIMEDIA ONE MEMBER PLC,CRBT,911993944,
601520,GHG Trading Plc,CRBT,939965976,
601594,May Technology Plc,CRBT,911240696,
601749,Kallah Trading Private Limited Company,CRBT,911136883,
