service_id,phone,account_manager,partner_name,service
2518234,911244202,Aziza,MALI BABA / Kelemua Ayalkebet Mekash,Voice-Premium
2519780,NA,Aziza,MIRAKA MOTOR,Voice-Premium
2519208,NA,Aziza,SALMAN TRANSPORT STORE AND COMMUNCATION PLC,Voice-Premium
2518104,977808080,Aziza,HELLO DELALA COMMISION SERVICE PLC,Voice-Premium
2516949,NA,Aziza,MSS PLC,Voice-Premium
2519332,985582050,Aziza,Hashim Consultancy and Training,Voice-Premium
601513,932999937,Aziza,Egresse,CRBT
601647,910365072,Aziza,Bright Family,CRBT
601789,930249999,Aziza,Salim Awod,CRBT
601610,927821805,Aziza,Enlight,CRBT
601944,930399276,Aziza,Abdurahman hussen abdella,CRBT
601864,912303243,Aziza,Zarihun Seyifu Balcha,CRBT
601787,910877845,Aziza,Million Bikole Negasa,CRBT
601632,912892864,Aziza,BLEH ENTERTAINMENT PLC,CRBT
601639,910200381,Aziza,Betelehem Yosef Hailu,CRBT
601687,913089099,Aziza,Diro Kebebe Bedushe,CRBT
601860,918083820,Aziza,Washera Entertainment PLC,CRBT
601588,913760260,Aziza,Solomon Begna Dhunfa,CRBT
601679,911605449,Aziza,Habtamu Asefa Gashawu,CRBT
601555,911140071,Aziza,21 Records,CRBT
601717,964040479,Aziza,Elroi Solutions Telecommunication,CRBT
601993,907777779,Aziza,Awod Salem,CRBT
601812,903224818,Aziza,Sena Kenea Dinka,CRBT
601510,912090104,Aziza,Weserve,CRBT
601678,951102883,Aziza,Tesfalem Tilahun Alemu,CRBT
601693,902935224,Aziza,Dita Argo Gudeta,CRBT
601771,913779034,Aziza,Flora IT Solution Plc,CRBT
601733,911197942,Aziza,TEA MEDIA AND EVENTS,CRBT
601741,910604216,Aziza,Vision ENT Entertainment PLC,CRBT
601734,927265537,Aziza,Temkin Entertainment Telecommunication VAS,CRBT
601716,911692647,Aziza,Ismael Emam Usman,CRBT
601985,975859289,Aziza,Top Entertainment PLC,CRBT
601888,912764231,Aziza,Elpida trading plc,CRBT
601892,985202952,Aziza,Vas Mas Trading PLC,CRBT
601579,991174432,Aziza,Bushra Ahmed,CRBT
601746,912000802,Aziza,naanaawee Investment One Member PLC,CRBT
601768,912059265,Aziza,Kasma General Contractor,CRBT
601989,978203044,Aziza,Feliz VAS,CRBT
601737,968092711,Aziza,Amuni Trading PLC,CRBT
601885,944048974,Aziza,Elu Star Trading PLC,CRBT
151112000014518,920407025,Kalkidan,Kutak solution,API
154312000014335,943177956,Kalkidan,Teleport Technologies PLC,API
151112000014014,920407025,Kalkidan,Kutak Solutions,API
102132000005008,943177956,Kalkidan,Startups technologis plc,API
300100200007109,911200569,Kalkidan,ALL AFRICANS ENTERPRENER PLC,API
151142000014048,933683247,Kalkidan,Hikma PLC,API
300069200007069,914460985,Kalkidan,BETE ZEMA ICT Solutions PLC,API
109052000005588,929051943,Kalkidan,Kiya Tech plc,API
106232000005240,933683247,Kalkidan,Comtel Trading,API
152202000014113,913275056,Kalkidan,Yuniversal Marketing plc,API
30023300007283,912734319,Kalkidan,YISAKOR Trading PLC,API
300066200007066,911302134,Kalkidan,ELU STAR TRADING PLC,API
30013400007185,911583036,Kalkidan,Hule Addis,API
134892000011904,911242987,Kalkidan,Elpida Trading PLC,API
150772000013989,912807825,Kalkidan,Alif Technologies P.L.C,API
151512000014110,929247528,Kalkidan,Amha Wehibe Importer and Technology,API
300061200007061,984044823,Kalkidan,Adasha Tech Solution/ Temesgen Adugna,API
151732000014058,911272338,Kalkidan,Glory Technology PLC,API
300053200007053,911747014,Kalkidan,HAYATECH Trading PLC,API
300059200007059,920407025,Kalkidan,Kutak solutions,API
151022000014034,911219814,Kalkidan,Singitan Multimedia & Press Works PLC,API
151182000014011,972472722,Kalkidan,Qene Technologies Plc,API
155572000014482,947138627,Kalkidan,Easy life solutions ICT PLC,API
300067200007067,911272338,Kalkidan,GLORY TECHNOLOGY,API
152372000014181,900763214,Kalkidan,Bikila Lema,API
156832000014659,912686303,Kalkidan,Alen home solution,API
300054200007054,920279451,Kalkidan,Meet consultancy,API
156572000014603,980777870,Kalkidan,Ahadu Technology,API
155802000014468,911200569,Kalkidan,All african,API
111052000006648,927821805,Kalkidan,Enlight Technologies PLC,API
300060200007060,930643659,Kalkidan,MAM ICT Technology,API
151022000014527,911219814,Kalkidan,Singitan Multimedia & Press Works PLC,API
151082000014037,921437521,Kalkidan,MT ICT TECHNOLOGY PLC,API
156642000014589,940561283,Kalkidan,Leta Senbato Oljira,API
156812000014722,923808380,Kalkidan,ZUZI COMMUNICATION TECHNOLOGY PLC,API
156212000014533,911010746,Kalkidan,Ditech,API
151222000014029,910553674,Kalkidan,Tinsae Mulugeta VAS,API
155732000014484,921437521,Kalkidan,OK SMS,API
30023900007288,907003333,Kalkidan,Gizuf Digital Service PLC,API
30021800007250,911435406,Kalkidan,EFHOI Ethio Family Health PLC,API
153472000014206,923569610,Kalkidan,Core Engineering Technology plc,API
30023900007290,907003333,Kalkidan,Gizuf Digital Service,API
155752000014470,921437521,Kalkidan,MIND SET SHORT MASAGE SERVICE,API
30011900007131,921437521,Kalkidan,ERISTE ATINAF ASRES,API
30023900007289,907003333,Kalkidan,Gizuf Digital Service,API
3000222000007020,911574143,Kalkidan,Hirenboot Computer import plc,API
30026100007329,912646315,Kalkidan,Velnet Solutions PLC,API
