service_id,phone,account_manager,partner_name,service
601698,911267022,Meskerem,,
601719,960277770,Meskerem,,
601620,913816422,Meskerem,,
601691,944031888,Meskerem,,
601677,911736405,Meskerem,,
601780,920009320,Meskerem,,
601619,944031888,Meskerem,,
601800,974996408,Meskerem,,
601980,911336283,Meskerem,,
601810,913516264,Meskerem,ZEMAMNESH AYALEW KASSA,CRBT
601531,944766591,Meskerem,CHELKBA BEDADA KORICHO,CRBT
30024800007309,930484285,selome,,
0134232000011026,930411413,selome,,
0066042000003776,911234747,selome,,
0059112000003522,911234747,selome,,
0130152000009606,930484285,selome,,
0100042000004311,911239002,selome,,
0132152000010007,930469372,selome,,
0129262000009408,929013461,selome,,
0100052000004314,930288729,selome,,
30025600007320,924108704,selome,,
0134432000011165,916651919,selome,,
30025600007321,924108704,selome,WOLAITTA DEVELOPMENT ASSOCIATION,MT
30025600007322,924108704,selome,WOLAITTA DEVELOPMENT ASSOCIATION,MT
30025600007324,924108704,selome,WOLAITTA DEVELOPMENT ASSOCIATION,MT
30025600007323,924108704,selome,WOLAITTA DEVELOPMENT ASSOCIATION,MT
2518885,911113687,selome,,
601897,911220602,selome,,
601563,911671074,selome,,
601633,904378617,selome,,
601725,922979498,selome,,
601770,917364181,selome,,
601608,911726557,selome,,
601672,922979498,selome,,
601840,913756997,selome,,
601748,996705060,selome,,
601992,913319633,selome,,
601669,911351590,selome,,
601646,920151704,selome,,
601781,933980081,selome,,
601533,908005544,selome,,
601559,912609063,selome,,
601887,911867926,selome,,
601550,901926703,selome,,
601685,911206924,selome,,
601843,910306623,selome,,
601862,944098461,selome,,
601775,944008689,selome,,
601799,913756997,selome,,
601539,931008888,selome,,
601741,910604216,selome,,
601721,912845083,selome,,
601796,911380508,selome,,
601990,938557406,selome,,
601987,995884790,selome,,
601505,998082829,selome,,
601738,912200611,selome,,
601547,911666996,selome,,
601530,947222225,selome,MIIRA DIGITAL TECH PLC,CRBT
601535,940167305,selome,BIRHANU MERGA MULETA,CRBT
